sku,sku_description,brand,brand_family,state,warehouse,list_price_usd,wholesale_price_usd,unit_cost_usd,case_pack_units,pallet_units,safety_stock_days,target_coverage_months,lead_time_days
SKU-1001,Citrus Spark 12pk,NorthPeak,Craft Sodas,CA,LA-01,24.99,16.50,10.20,12,960,35,1.75,21
SKU-1001,Citrus Spark 12pk,NorthPeak,Craft Sodas,WA,SEA-01,25.49,16.80,10.35,12,960,38,1.85,24
SKU-1001,Citrus Spark 12pk,NorthPeak,Craft Sodas,NY,NYC-01,26.99,17.40,10.80,12,960,40,2.00,28
SKU-1002,Black Cherry 12pk,NorthPeak,Craft Sodas,TX,DAL-01,23.99,15.75,9.85,12,960,32,1.60,18
SKU-1002,Black Cherry 12pk,NorthPeak,Craft Sodas,FL,MIA-01,24.49,16.00,10.05,12,960,35,1.80,22
SKU-2001,Zero Lime 24pk,ClearSpring,Functional Water,CA,LA-01,31.99,21.25,13.75,24,1440,42,2.10,30
SKU-2001,Zero Lime 24pk,ClearSpring,Functional Water,IL,CHI-01,30.99,20.50,13.10,24,1440,38,1.90,26
SKU-2002,Mineral Berry 24pk,ClearSpring,Functional Water,NY,NYC-01,32.99,21.95,14.20,24,1440,45,2.20,32
SKU-3001,Roasted Almond Bar 18ct,FieldHouse,Protein Snacks,TX,DAL-01,28.99,19.25,11.90,18,1080,30,1.50,17
SKU-3001,Roasted Almond Bar 18ct,FieldHouse,Protein Snacks,IL,CHI-01,29.49,19.50,12.05,18,1080,34,1.70,20
SKU-3002,Cocoa Peanut Bar 18ct,FieldHouse,Protein Snacks,WA,SEA-01,27.99,18.70,11.40,18,1080,36,1.80,24
SKU-4001,Cold Brew Original 6pk,UrbanRoast,Ready-to-Drink Coffee,NY,NYC-01,34.99,23.10,15.80,6,720,42,2.25,35
SKU-4001,Cold Brew Original 6pk,UrbanRoast,Ready-to-Drink Coffee,FL,MIA-01,33.99,22.70,15.35,6,720,39,2.00,31
